child of
youth of
descendant of
heir of
offspring of
progeny of
gift of
whoreson of
offspring of
student of
apprentice of
heel of
disciple of
scholar of
pupil of
prodigy of
apostle of
scribe of
redeemer of
prodigal of
successor of
from the line of
from the grace of
from the family of
from the house of
from the blood of
from the clan of
from the kin of
from the lineage of
from the ancestry of
from the tree of
from the affiliation of
from the alliance of
from the band of
from the brotherhood of
from the circle of
from the company of
from the fellowship of
from the tribe of
from the coalition under
from the guild under
from the league under
from the mob under
from the order under
from the organization under
from the outfit under
from the Elfring under
from the society under
from the syndicate under
from the troop under
